City;Country;Cost_Living;Job_Market;Safety;Healthcare;Housing_Price;Transport;Air_Quality;Green_Space
Vienna;Austria;73.7;135.1;71.8;81.8;12.2;21.4;84.4;50.0
Copenhagen;Denmark;85.7;136.3;74.2;78.0;9.0;27.5;77.5;46.0
Amsterdam;Netherlands;83.4;130.8;74.3;81.5;9.2;22.2;77.3;34.0
Helsinki;Finland;74.0;123.2;74.7;80.5;10.7;24.3;87.6;43.0
Stockholm;Sweden;77.9;119.1;53.5;65.7;12.8;34.1;82.0;41.0
Oslo;Norway;90.5;112.0;65.7;77.7;11.5;27.8;78.1;72.0
Berlin;Germany;69.6;133.9;55.5;66.5;10.0;33.3;61.6;37.0
Paris;France;79.0;122.8;42.0;77.0;15.1;41.2;36.5;20.0
London;United Kingdom;87.0;117.1;44.5;69.5;15.1;44.8;41.9;33.0
Brussels;Belgium;73.4;125.2;43.7;73.6;6.1;36.8;37.5;31.0
Madrid;Spain;59.8;107.0;71.4;79.9;12.4;27.9;62.3;39.0
Lisbon;Portugal;54.2;62.3;67.4;72.4;19.6;34.6;62.6;27.0
Rome;Italy;62.3;86.7;52.6;64.9;14.0;35.3;51.3;24.0
Athens;Greece;57.7;61.0;44.8;58.4;15.3;37.2;44.8;10.0
Warsaw;Poland;53.4;101.3;74.6;58.3;12.5;34.8;40.4;35.0
